database,inat.id,date,latitude,longitude,morph.class
iNaturalist,886,11/28/2008,41.31660461,-72.55899811,gray
iNaturalist,1125,11/16/2008,40.1092186,-88.22785187,gray
iNaturalist,6669,4/3/2010,37.55862045,-77.64801788,gray
iNaturalist,9666,10/29/2007,32.18986415,-80.75847298,gray
iNaturalist,12926,10/5/2009,37.2803382,-121.9542198,melanic
iNaturalist,13102,3/20/2011,42.33469515,-82.95149803,melanic
iNaturalist,13105,3/18/2011,42.33466342,-82.9515624,gray
iNaturalist,14140,4/10/2011,37.2770029,-121.9529992,gray
iNaturalist,14472,4/15/2011,38.89414978,-77.02733612,gray
iNaturalist,14829,4/18/2011,37.977552,-122.580188,gray
iNaturalist,15288,11/26/2008,38.54467264,-121.7645913,gray
iNaturalist,18879,5/29/2011,39.9986992,-77.9205547,gray
iNaturalist,21577,6/15/2011,39.95534605,-76.6968441,gray
iNaturalist,29038,6/13/2011,40.74273026,-74.23027396,gray
iNaturalist,30423,9/3/2011,35.37141497,-89.99794006,gray
iNaturalist,33911,10/1/2011,41.45,-71.4494444,gray
iNaturalist,37381,3/28/2009,41.74784049,-71.3959837,gray
iNaturalist,38279,11/5/2011,26.09246445,-80.26926422,gray
iNaturalist,39502,9/6/2010,40.64164416,-74.44151402,gray
iNaturalist,42689,12/13/2011,40.85355581,-73.87937933,melanic
iNaturalist,43430,12/16/2011,37.12309636,-89.33446884,gray
iNaturalist,45177,12/30/2011,38.89617485,-77.00498658,other
iNaturalist,45179,12/30/2011,38.89557479,-77.00382695,gray
iNaturalist,47564,12/28/2011,44.70891097,-73.40461493,gray
iNaturalist,49701,1/30/2012,38.89858013,-77.03640162,gray
iNaturalist,53313,2/23/2012,41.0870758,-81.62402608,gray
iNaturalist,55754,2/19/2012,41.61125117,-81.33138478,melanic
iNaturalist,56095,3/8/2012,42.37571851,-71.11693584,gray
iNaturalist,56096,3/8/2012,42.3757855,-71.11715466,gray
iNaturalist,56506,3/3/2012,40.0732031,-82.86836028,gray
iNaturalist,56788,3/2/2012,37.31297124,-122.0632246,gray
iNaturalist,59739,3/23/2012,39.11330085,-82.53120124,other
iNaturalist,61259,3/13/2012,45.41230813,-75.70715051,gray
iNaturalist,61320,3/31/2012,38.30438314,-90.25223268,gray
iNaturalist,62654,4/5/2012,41.12702298,-81.54533232,gray
iNaturalist,63411,4/8/2012,39.41541834,-81.44626053,gray
iNaturalist,65465,4/14/2012,41.153894,-81.484195,gray
iNaturalist,67258,4/17/2012,38.96874444,-76.48521781,gray
iNaturalist,67363,4/18/2012,47.6566919,-122.3063933,gray
iNaturalist,68105,4/20/2012,41.12785227,-81.54868447,gray
iNaturalist,69888,4/20/2012,42.28083152,-83.72638101,melanic
iNaturalist,70016,4/24/2012,39.88530429,-76.73171567,gray
iNaturalist,70535,4/26/2012,47.6572876,-122.3047714,gray
iNaturalist,72885,4/8/2012,47.80765915,-122.3318863,gray
iNaturalist,73140,4/30/2012,41.130212,-81.54439293,gray
iNaturalist,73183,4/18/2012,47.65616667,-122.3068333,gray
iNaturalist,73319,4/26/2012,47.65911865,-122.309906,gray
iNaturalist,73456,4/18/2012,47.6565,-122.3068333,gray
iNaturalist,73457,4/18/2012,47.6565,-122.3061667,gray
